Order,Family,Genus,Species,BoW,SVL,BrW
Anura,Ranidae,Amolops,granulosus,2213.8,32.58,31.492
Anura,Ranidae,Amolops,lifanensis,13720,49.56,45.108
Anura,Ranidae,Amolops,lifanensis,16220,54.92,61.476
Anura,Ranidae,Amolops,lifanensis,13130,53.82,62.164
Anura,Ranidae,Amolops,lifanensis,13380.8,49.34,32
Anura,Ranidae,Amolops,lifanensis,17733.2,49.84,35.4
Anura,Ranidae,Amolops,lifanensis,14990.6,51.72,42.5
Anura,Ranidae,Amolops,lifanensis,17576.8,54.86,41.6
Anura,Ranidae,Amolops,loloensis,19834.8,51.62,49.1
Anura,Ranidae,Amolops,loloensis,17370.8,53.2,58.5
Anura,Ranidae,Amolops,loloensis,33313.9,63.63,34.1
Anura,Ranidae,Amolops,mantzorum,9970,46.75,56.4
Anura,Ranidae,Amolops,mantzorum,10950,47.03,54.2
Anura,Ranidae,Amolops,mantzorum,9810,48.33,43.6
Anura,Ranidae,Amolops,mantzorum,10340,48.54,72.5
Anura,Ranidae,Amolops,mantzorum,13250,48.93,65.2
Anura,Ranidae,Amolops,mantzorum,12380,49.53,61.3
Anura,Ranidae,Amolops,mantzorum,14320,49.75,78.7
Anura,Ranidae,Amolops,mantzorum,12520,50.36,73.7
Anura,Ranidae,Amolops,mantzorum,14900,50.7,69.2
Anura,Ranidae,Amolops,mantzorum,14640,51.29,66.4
Anura,Ranidae,Amolops,mantzorum,11920,52.41,49.9
Anura,Ranidae,Amolops,mantzorum,14880,52.76,93
Anura,Ranidae,Amolops,mantzorum,15120,57.07,68.6
Anura,Ranidae,Amolops,mantzorum,13620,57.3,72.5
Anura,Ranidae,Amolops,mantzorum,14320,59.1,68.4
Anura,Ranidae,Rana,adenopleura,9044.4,43.32,44.2
Anura,Ranidae,Rana,adenopleura,9041.3,43.88,36
Anura,Ranidae,Rana,adenopleura,9534.2,43.89,36.2
Anura,Ranidae,Rana,areolata,73350,,153
Anura,Ranidae,Rana,catesbeiana,519900,,462.5
Anura,Ranidae,Rana,catesbeiana,244400,,204
Anura,Ranidae,Rana,chaochiaoensis,3893,39.63,46.4
Anura,Ranidae,Rana,chaochiaoensis,4364.5,40.45,48.6
Anura,Ranidae,Rana,chaochiaoensis,5949.6,44.71,49.5
Anura,Ranidae,Rana,chaochiaoensis,5884,44.75,45.3
Anura,Ranidae,Rana,chaochiaoensis,7791.2,44.98,46.8
Anura,Ranidae,Rana,chaochiaoensis,7823.3,46.54,58.9
Anura,Ranidae,Rana,chaochiaoensis,7126.2,46.7,48.4
Anura,Ranidae,Rana,chaochiaoensis,11066.3,52.75,66.7
Anura,Ranidae,Rana,chaochiaoensis,9657.6,52.96,52.1
Anura,Ranidae,Rana,chaochiaoensis,9943.1,53.2,47.7
Anura,Ranidae,Rana,esculenta,44500,,106
Anura,Ranidae,Rana,grahami,11618.5,55.63,95.268
Anura,Ranidae,Rana,grahami,24485.4,64.81,98.756
Anura,Ranidae,Rana,grahami,33946.4,73.61,109.204
Anura,Ranidae,Rana,grahami,30876,69.91,114.436
Anura,Ranidae,Rana,grahami,13137.1,55.08,58.4
Anura,Ranidae,Rana,grahami,14744.2,58.24,60.3
Anura,Ranidae,Rana,grahami,35347.7,74.42,115.8
Anura,Ranidae,Rana,grahami,40047.2,76.1,122.9
Anura,Ranidae,Rana,grahami,25595.2,66.96,116.7
Anura,Ranidae,Rana,grahami,25576.4,66.32,98
Anura,Ranidae,Rana,guentheri,16700,62.57,53.06
Anura,Ranidae,Rana,guentheri,19040,65.17,55.412
Anura,Ranidae,Rana,guentheri,21750,64.97,60.26
Anura,Ranidae,Rana,guentheri,24310,65.86,63.588
Anura,Ranidae,Rana,guentheri,19550,60.3,65.092
Anura,Ranidae,Rana,guentheri,16280,58.19,66.996
Anura,Ranidae,Rana,guentheri,22190,64.02,71.684
Anura,Ranidae,Rana,guentheri,21720,66.17,72.548
Anura,Ranidae,Rana,guentheri,22390,66.91,73.476
Anura,Ranidae,Rana,guentheri,20320,64.83,75.028
Anura,Ranidae,Rana,guentheri,20280,66.22,78.244
Anura,Ranidae,Rana,guentheri,21310,62.24,78.98
Anura,Ranidae,Rana,guentheri,23030,68.53,78.98
Anura,Ranidae,Rana,guentheri,15750,56.27,83.012
Anura,Ranidae,Rana,guentheri,22080,65.7,83.06
Anura,Ranidae,Rana,guentheri,18660,64.05,85.604
Anura,Ranidae,Rana,guentheri,18900,62.24,85.812
Anura,Ranidae,Rana,guentheri,28020,69.37,95.476
Anura,Ranidae,Rana,guentheri,17680,62.38,67.8
Anura,Ranidae,Rana,guentheri,20300,62.76,70.3
Anura,Ranidae,Rana,guentheri,17500,62.9,70.5
Anura,Ranidae,Rana,guentheri,20890,62.98,87.8
Anura,Ranidae,Rana,guentheri,20050,63.18,81.6
Anura,Ranidae,Rana,guentheri,19610,63.25,70.7
Anura,Ranidae,Rana,guentheri,18800,63.25,85.4
Anura,Ranidae,Rana,guentheri,18490,63.33,72.7
Anura,Ranidae,Rana,guentheri,18310,63.66,70.1
Anura,Ranidae,Rana,guentheri,23910,65.73,86.3
Anura,Ranidae,Rana,guentheri,20680,66.68,86
Anura,Ranidae,Rana,guentheri,21370,66.84,87
Anura,Ranidae,Rana,guentheri,24180,68.76,82.1
Anura,Ranidae,Rana,hejiangensis,6787.2,44.48,41.7
Anura,Ranidae,Rana,hejiangensis,7163,46.78,35.9
Anura,Ranidae,Rana,hejiangensis,8407.3,48.38,43.6
Anura,Ranidae,Rana,japonica,21944.2,57.37,38.004
Anura,Ranidae,Rana,japonica,9345.6,47.47,45.092
Anura,Ranidae,Rana,japonica,12510,53.38,48.196
Anura,Ranidae,Rana,kukunoris,7877,42.99,37.012
Anura,Ranidae,Rana,kukunoris,5333,40.64,38.676
Anura,Ranidae,Rana,kukunoris,9309,47.35,39.188
Anura,Ranidae,Rana,kukunoris,8893,46.02,45.204
Anura,Ranidae,Rana,kukunoris,11542,49.78,48.948
Anura,Ranidae,Rana,kukunoris,12297,52.78,54.18
Anura,Ranidae,Rana,kukunoris,7877,43.63,36.2
Anura,Ranidae,Rana,kukunoris,9309,49.27,37.8
Anura,Ranidae,Rana,kukunoris,11542,51.57,49.9
Anura,Ranidae,Rana,kukunoris,12297,54.32,49.2
Anura,Ranidae,Rana,margaretae,33890,72.59,107.38
Anura,Ranidae,Rana,margaretae,32480,71.34,110.628
Anura,Ranidae,Rana,margaretae,26450,69.45,114.4
Anura,Ranidae,Rana,margaretae,32005.4,69.99,57.3
Anura,Ranidae,Rana,margaretae,30310,71.33,85.1
Anura,Ranidae,Rana,nigromaculata,15390,54.9,50.58
Anura,Ranidae,Rana,nigromaculata,18160,58.32,53.668
Anura,Ranidae,Rana,nigromaculata,33780,73.69,55.828
Anura,Ranidae,Rana,nigromaculata,25860,65.82,65.86
Anura,Ranidae,Rana,nigromaculata,15190,55.61,66.66
Anura,Ranidae,Rana,nigromaculata,41410,80.55,77.572
Anura,Ranidae,Rana,nigromaculata,33530,72.73,77.716
Anura,Ranidae,Rana,nigromaculata,23690,60.14,79.156
