"V" "FeH" "X" "Y"
-21.51 -1.862 -2.13 -0.806
-12.01 -1.828 0.892 2.757
-28.08 -1.772 3.022 0.806
-19.13 -1.862 -0.644 3.945
-17.97 -1.455 4.012 2.97
-22.57 -1.36 6.34 1.061
-11.76 -1.55 -4.804 4.794
-14.82 -2.088 -7.331 3.946
-29.97 -1.916 -3.963 -8.187
-14.06 -1.473 -4.954 -9.757
-22.23 -1.436 -9.66 -8.102
-20.37 -1.907 -14.017 5.134
-5.15 -1.962 -14.909 3.225
-30.01 -1.848 -9.066 -12.471
-19.32 -1.546 10.153 11.242
-24.11 -1.86 13.224 9.461
-26.59 -1.533 -18.476 -1.568
-31.31 -1.696 18.03 3.862
-17.01 -1.607 -12.53 14.721
-20.17 -1.712 14.466 -13.531
-24.32 -1.806 13.326 -14.974
-29.22 -1.495 16.394 14.127
-20.41 -1.527 19.713 10.056
-15.34 -1.869 -1.387 22.823
-24.38 -1.605 -22.734 6.832
-20.4 -1.914 16.547 -18.409
-27.47 -1.388 15.699 19.388
-25.5 -1.525 -17.389 -18.664
-24.02 -1.839 9.463 -23.713
-21.48 -1.913 11.048 -23.416
-23.79 -1.568 -21.303 -16.288
-21.13 -2.055 4.707 -26.343
-26.25 -1.553 -19.024 -19.215
-19.57 -1.84 23.526 12.687
-14.82 -1.705 -21.246 17.48
-20.23 -1.847 -26.75 -8.82
-17.57 -1.989 -15.656 -23.84
-19.95 -1.797 21.353 -18.79
-18.24 -1.865 -19.52 -22.227
-28.05 -1.616 10.157 -27.7
-19.78 -1.443 26.844 12.475
-19.11 -2.202 23.376 18.922
-37.39 -1.956 -31.951 -7.843
-23.2 -1.354 25.267 -20.783
-23.53 -1.666 28.387 -17.219
-16.78 -1.915 33.584 -0.334
-14.94 -1.95 32.844 -10.134
-24.36 -1.649 -30.309 19.9
-22.03 -1.801 35.263 13.878
-23.9 -1.851 38.14 1.322
-21.25 -1.713 -15.559 -35.378
-21.29 -1.781 -36.749 12.902
-12.57 -1.571 -39.378 2.552
-23.08 -1.69 -5.649 -39.536
-22.99 -1.487 -10.901 -38.815
-21.92 -1.406 -40.769 -8.01
-18.1 -1.856 -32.155 -26.89
-26.98 -1.439 -24.363 35.721
-18.27 -1.634 42.447 7.729
-17.71 -1.483 46.212 6.076
-24.02 -1.966 30.424 -35.629
-18.67 -2.035 -44.539 -21.413
-24.4 -1.505 -32.456 -38.004
-15.18 -1.917 -35.23 -36.731
-18.9 -1.837 -35.256 36.912
-18.07 -1.815 -45.036 -24.383
-15.77 -1.66 -49.576 15.707
-18.26 -1.885 -51.668 -9.829
48.94 -0.742 -20.615 -48.273
-17.45 -1.735 -45.434 -27.31
-17.79 -1.182 47.59 26.184
46.92 -1.329 -46.251 30.171
-16.32 -1.473 53.043 14.563
-24.72 -1.915 55.477 1.287
-28.74 -1.774 -55.324 8.753
-16.56 -1.633 -47.985 29.366
-20.19 -1.481 -41.128 -39.189
-27 -1.522 -57.163 -2.615
-19.47 -1.704 -42.911 -38.383
-18.05 -1.596 52.468 -24.634
-20.99 -1.865 54.003 -23.785
-12.78 -1.755 -59.784 4.853
-19.16 -1.776 -58.261 -18.183
-16.92 -1.725 50.936 -33.289
-19.91 -1.901 -47.321 -38.975
-15.21 -1.726 59.779 14.016
-24.28 -1.197 -33.716 52.056
-20.78 -1.794 58.387 25.172
-21.84 -1.851 -61.657 20.846
-18.69 -1.682 64.743 -3.799
-18.73 -1.797 59.405 -26.157
-19.1 -1.644 62.769 -17.587
-21.52 -1.906 36.03 -57.729
-20.69 -1.711 68.355 2.27
-18.57 -1.388 -0.446 -68.722
-30.5 -1.786 -70.989 -11.388
-23.47 -1.733 -66.839 -28.953
-22.51 -1.32 -75.051 -10.282
-19.53 -1.839 -53.176 -53.947
-18.76 -1.833 71.656 28.658
-4.13 -1.16 -29.988 -74.148
-20.77 -1.935 -70.709 -37.732
-21.03 -1.312 -1.438 -82.636
-19.29 -1.349 -49.564 -66.463
-22.11 -1.837 85.243 5.294
-20.39 -1.551 -72.301 -46.851
-20.04 -1.596 -86.936 -5.437
-21.51 -1.591 -48.181 -77.238
-22.53 -1.871 -76.418 -52.448
-21.27 -1.666 -79.812 48.983
-31.81 -1.598 74.192 -59.152
-23.01 -1.713 -91.271 -35.723
16.42 -0.873 -83.121 59.803
-22.42 -1.61 98.41 -40.001
-18.86 -1.54 -92.576 -55.829
-21.16 -1.617 111.037 -31.165
18.9 -0.709 -56.77 -103.747
-20.42 -1.659 114.036 37.645
-21.6 -1.772 -114.023 -43.591
-21.97 -1.452 -121.532 21.364
-20.96 -1.53 -117.84 46.049
-14.86 -1.769 128.74 -43.66
13.43 -1.277 138.128 -21.971
-21.68 -1.545 -116.539 -79.392
-21.44 -1.909 136.325 -46.281
-52.15 -0.993 -116.802 -93.73
-18.55 -2.047 -161.399 -12.182
-21.54 -1.514 -109.105 -130.814
-25.76 -1.705 175.698 -31.716
-160.54 -0.867 -170.029 -82.164
-19.04 -1.941 194.043 -10.983
-21.92 -0.822 -130.501 -148.778
-5.18 -1.272 -196.81 -116.65
-32.02 -0.977 229.695 -3.787
-14.08 -1.519 225.87 -46.046
-50.22 -1.127 -175.136 -175.27
-49.26 -1.082 -203.398 -166.143
-21.06 -1.052 -233.189 -131.552
-22.24 -1.066 -239.603 -229.107
