"TICKS","HEIGHT","YEAR","LOCATION"
0,465,"95","32"
0,465,"95","32"
0,472,"95","36"
0,475,"95","37"
0,475,"95","37"
3,475,"95","37"
2,475,"95","37"
0,488,"95","44"
0,488,"95","44"
2,488,"95","44"
0,492,"95","47"
0,492,"95","47"
0,492,"95","47"
0,490,"95","45"
0,490,"95","45"
0,490,"95","45"
0,464,"95","31"
0,464,"95","31"
0,464,"95","31"
1,464,"95","31"
2,464,"95","31"
1,457,"95","28"
0,457,"95","28"
0,457,"95","28"
5,457,"95","28"
8,451,"95","26"
3,451,"95","26"
4,451,"95","26"
7,437,"95","17"
0,437,"95","17"
4,437,"95","17"
4,430,"95","14"
1,430,"95","14"
0,430,"95","14"
0,430,"95","14"
3,430,"95","14"
1,430,"95","14"
6,427,"95","13"
0,427,"95","13"
1,427,"95","13"
0,427,"95","13"
2,419,"95","7"
7,419,"95","7"
31,419,"95","7"
34,411,"95","4"
17,411,"95","4"
16,411,"95","4"
66,419,"95","7"
49,419,"95","7"
82,419,"95","7"
85,419,"95","7"
64,419,"95","7"
11,424,"95","11"
14,424,"95","11"
4,424,"95","11"
10,424,"95","11"
3,427,"95","13"
15,427,"95","13"
8,427,"95","13"
9,422,"95","9"
11,422,"95","9"
7,422,"95","9"
13,422,"95","9"
3,503,"95","53"
0,496,"95","51"
0,496,"95","51"
1,496,"95","51"
1,496,"95","51"
0,507,"95","54"
0,507,"95","54"
0,507,"95","54"
0,507,"95","54"
0,496,"95","51"
0,496,"95","51"
0,496,"95","51"
1,496,"95","51"
1,496,"95","51"
0,496,"95","51"
2,466,"95","33"
0,466,"95","33"
3,466,"95","33"
1,488,"95","44"
7,442,"95","19"
2,442,"95","19"
16,442,"95","19"
12,442,"95","19"
0,442,"95","19"
1,442,"95","19"
0,533,"95","63"
0,533,"95","63"
1,533,"95","63"
0,533,"95","63"
0,533,"95","63"
1,533,"95","63"
0,533,"95","63"
0,533,"95","63"
0,515,"95","59"
0,515,"95","59"
0,515,"95","59"
0,515,"95","59"
5,518,"95","60"
2,518,"95","60"
2,493,"95","48"
1,493,"95","48"
1,493,"95","48"
0,468,"95","34"
0,468,"95","34"
1,468,"95","34"
1,476,"95","38"
1,476,"95","38"
0,476,"95","38"
0,476,"95","38"
5,446,"95","22"
3,446,"95","22"
2,460,"95","30"
2,525,"95","62"
1,525,"95","62"
1,410,"96","3"
0,410,"96","3"
2,410,"96","3"
5,410,"96","3"
1,410,"96","3"
2,410,"96","3"
2,410,"96","3"
3,417,"96","6"
14,417,"96","6"
11,417,"96","6"
9,417,"96","6"
4,417,"96","6"
10,417,"96","6"
33,417,"96","6"
19,417,"96","6"
16,417,"96","6"
16,430,"96","14"
13,430,"96","14"
11,430,"96","14"
7,430,"96","14"
4,430,"96","14"
11,430,"96","14"
1,456,"96","27"
1,456,"96","27"
4,456,"96","27"
6,457,"96","28"
2,457,"96","28"
7,457,"96","28"
8,457,"96","28"
14,457,"96","28"
6,430,"96","14"
13,430,"96","14"
5,430,"96","14"
8,430,"96","14"
13,430,"96","14"
17,430,"96","14"
5,430,"96","14"
1,430,"96","14"
1,430,"96","14"
2,430,"96","14"
7,423,"96","10"
7,421,"96","8"
11,421,"96","8"
1,525,"96","62"
0,525,"96","62"
5,509,"96","55"
4,509,"96","55"
0,499,"96","52"
0,499,"96","52"
0,499,"96","52"
7,503,"96","53"
5,503,"96","53"
3,503,"96","53"
1,503,"96","53"
6,503,"96","53"
1,492,"96","47"
2,492,"96","47"
14,491,"96","46"
5,491,"96","46"
27,491,"96","46"
1,475,"96","37"
2,475,"96","37"
3,475,"96","37"
0,475,"96","37"
1,479,"96","40"
0,479,"96","40"
5,479,"96","40"
5,479,"96","40"
8,479,"96","40"
21,479,"96","40"
15,472,"96","36"
15,472,"96","36"
6,472,"96","36"
19,472,"96","36"
14,472,"96","36"
1,485,"96","42"
1,485,"96","42"
3,485,"96","42"
2,485,"96","42"
3,485,"96","42"
2,495,"96","50"
5,495,"96","50"
0,472,"96","36"
6,472,"96","36"
3,472,"96","36"
1,458,"96","29"
0,458,"96","29"
1,458,"96","29"
6,458,"96","29"
1,458,"96","29"
85,449,"96","24"
45,449,"96","24"
68,449,"96","24"
84,449,"96","24"
50,449,"96","24"
13,442,"96","19"
1,442,"96","19"
19,448,"96","23"
26,448,"96","23"
9,448,"96","23"
2,448,"96","23"
4,448,"96","23"
3,448,"96","23"
22,448,"96","23"
32,448,"96","23"
5,403,"96","1"
21,403,"96","1"
26,403,"96","1"
13,403,"96","1"
23,403,"96","1"
42,411,"96","4"
38,411,"96","4"
61,411,"96","4"
79,411,"96","4"
39,411,"96","4"
41,411,"96","4"
15,415,"96","5"
23,415,"96","5"
14,415,"96","5"
7,427,"96","13"
24,424,"96","11"
3,525,"96","62"
1,525,"96","62"
2,521,"96","61"
1,521,"96","61"
0,521,"96","61"
3,518,"96","60"
8,518,"96","60"
1,495,"96","50"
2,495,"96","50"
0,495,"96","50"
8,495,"96","50"
3,495,"96","50"
14,495,"96","50"
16,495,"96","50"
18,495,"96","50"
11,495,"96","50"
13,495,"96","50"
6,460,"96","30"
7,460,"96","30"
10,460,"96","30"
5,442,"96","19"
7,442,"96","19"
25,443,"96","20"
11,443,"96","20"
6,443,"96","20"
4,443,"96","20"
7,443,"96","20"
4,425,"96","12"
6,425,"96","12"
2,425,"96","12"
5,439,"96","18"
3,439,"96","18"
7,439,"96","18"
3,444,"96","21"
1,450,"97","25"
4,450,"97","25"
4,450,"97","25"
2,450,"97","25"
5,450,"97","25"
3,446,"97","22"
0,446,"97","22"
3,446,"97","22"
1,446,"97","22"
2,446,"97","22"
3,446,"97","22"
1,472,"97","36"
0,472,"97","36"
4,472,"97","36"
0,472,"97","36"
0,472,"97","36"
0,472,"97","36"
0,460,"97","30"
0,460,"97","30"
0,460,"97","30"
1,442,"97","19"
3,442,"97","19"
4,442,"97","19"
0,442,"97","19"
4,442,"97","19"
2,442,"97","19"
0,525,"97","62"
0,525,"97","62"
1,525,"97","62"
0,533,"97","63"
1,533,"97","63"
2,533,"97","63"
0,533,"97","63"
0,533,"97","63"
0,533,"97","63"
1,513,"97","57"
0,513,"97","57"
0,513,"97","57"
1,513,"97","57"
1,513,"97","57"
0,513,"97","57"
0,513,"97","57"
0,514,"97","58"
0,514,"97","58"
0,511,"97","56"
0,511,"97","56"
1,511,"97","56"
0,511,"97","56"
0,511,"97","56"
0,511,"97","56"
0,511,"97","56"
1,511,"97","56"
0,511,"97","56"
0,511,"97","56"
0,511,"97","56"
0,496,"97","51"
0,496,"97","51"
0,496,"97","51"
0,496,"97","51"
1,494,"97","49"
0,494,"97","49"
0,494,"97","49"
0,494,"97","49"
0,494,"97","49"
2,411,"97","4"
4,411,"97","4"
4,411,"97","4"
1,411,"97","4"
2,411,"97","4"
2,411,"97","4"
1,411,"97","4"
4,411,"97","4"
1,411,"97","4"
3,411,"97","4"
3,411,"97","4"
2,423,"97","10"
0,423,"97","10"
3,424,"97","11"
2,403,"97","1"
0,403,"97","1"
1,403,"97","1"
0,409,"97","2"
3,409,"97","2"
1,409,"97","2"
10,434,"97","16"
4,434,"97","16"
1,434,"97","16"
2,477,"97","39"
0,477,"97","39"
1,477,"97","39"
0,472,"97","36"
0,468,"97","34"
0,468,"97","34"
0,470,"97","35"
0,486,"97","43"
0,495,"97","50"
0,495,"97","50"
0,495,"97","50"
0,495,"97","50"
0,495,"97","50"
0,483,"97","41"
0,483,"97","41"
2,483,"97","41"
2,442,"97","19"
2,442,"97","19"
0,457,"97","28"
4,457,"97","28"
5,457,"97","28"
2,457,"97","28"
3,457,"97","28"
2,457,"97","28"
2,457,"97","28"
1,457,"97","28"
2,457,"97","28"
0,457,"97","28"
2,464,"97","31"
0,464,"97","31"
1,464,"97","31"
0,433,"97","15"
3,433,"97","15"
1,433,"97","15"
0,433,"97","15"
0,442,"97","19"
0,442,"97","19"
0,433,"97","15"
1,433,"97","15"
0,433,"97","15"
0,430,"97","14"
0,430,"97","14"
2,450,"97","25"
0,450,"97","25"
